id,en_sentence,influence,influence_lang,influenced_sentence
223,Agents of the South Carolina State Law Enforcement Division () have found themselves busy investigating a recent rash of officer-involved shootings across the Palmetto State.,1,fr,Les agents de la Division de l'application des lois de la Caroline du Sud () se sont retrouvés occupés à enquêter sur une récente éruption de fusillades impliquant des agents dans l'État de Palmetto.
224,A global poll conducted in 2019 that 61% of respondents believed their current jobs would be impacted by technological changes and globalization.,0,es,Una encuesta mundial realizada en 2019 que el 61% de los encuestados creía que sus empleos actuales se verían afectados por los cambios tecnológicos y la globalización.
225,"A government grant of £82,500 will do little to ease financial woes, as there was a predicted £3 million shortfall already looming between now and 2023, even before the coronavirus crisis took hold.",0,es,"Una subvención del gobierno de £82.500 hará poco para aliviar los problemas financieros, ya que había un déficit predicho de £3 millones que ya se avecinaba entre ahora y 2023, incluso antes de que la crisis del coronavirus se hiciera realidad."
226,A government spokesperson said: “We have announced a total of £3.2bn of funding for councils to support their response to the pandemic.,1,fr,"Un porte-parole du gouvernement a déclaré : « Nous avons annoncé un total de 3,2 milliards de livres de financement pour les conseils afin de soutenir leur réponse à la pandémie."
227,A governor is usually tasked with working out such agreements.,1,fr,Un gouverneur est habituellement chargé d'élaborer de tels accords.
228,A graduate class upholds many different exercises and functions.,1,fr,Une classe d'études supérieures soutient de nombreux exercices et fonctions différents.
229,"Agricultural emissions are dominated by (N₂O), mostly from fertilizers spread on fields (both synthetic and animal manures), and methane (CH₄), largely produced by ruminant livestock such as cows and sheep, and rice farming.",0,es,"Las emisiones agrícolas están dominadas por (N2O), principalmente a partir de fertilizantes difundidos en campos (tanto sintéticos como animales) y metano (CH4), producidos en gran parte por ganado rumiante, como vacas y ovejas, y la agricultura del arroz."
230,"A group of 16 Senate Republicans and over 200 House members have also expressed their support for an extension of the payroll support program, but Congress has yet to reach an agreement.",1,fr,"Un groupe de 16 sénateurs républicains et plus de 200 membres de la Chambre ont également exprimé leur soutien à l'extension du programme de soutien de la paie, mais le Congrès n'a pas encore conclu d'accord."
231,A group of armed demonstrators gathered downtown Raleigh to stand for their first and second amendment rights.,1,fr,Un groupe de manifestants armés s'est rassemblé dans le centre-ville de Raleigh pour défendre leurs droits de premier et deuxième amendements.
232,"A group of genes passed down from extinct human cousins is linked with a higher risk for severe COVID-19, researchers say.",1,fr,"Selon les chercheurs, un groupe de gènes transmis par des cousins humains éteints est lié à un risque plus élevé de COVID-19 sévère."
233,"""A high BMI increases the risk of other diseases, including other cancers, so people should consider the implications of excess body fat wherever it is found.""",1,fr,"« Un IMC élevé augmente le risque d'autres maladies, y compris d'autres cancers, de sorte que les gens devraient considérer les implications de l'excès de graisse corporelle partout où il se trouve. »"
234,A higher number depicts the unit is more effective in cleaning the air of specific pollutants.,0,es,Un mayor número muestra que la unidad es más eficaz en la limpieza del aire de contaminantes específicos.
235,"Aircraft valuations could decline if significant numbers of additional aircraft, particularly types with relatively few operators, are placed out of service.",1,fr,"Les évaluations des aéronefs pourraient diminuer si un nombre important d'aéronefs supplémentaires, en particulier des types dont les exploitants sont relativement peu nombreux, étaient mis hors service."
236,"“Airfreight is going to be a bright spot for carriers at least for this year because while borders are closed that doesn’t mean people aren’t buying,” said Um Kyung-a, an airline analyst at Shinyoung Securities Co. in Seoul.",1,fr,"Le fret aérien va être un point lumineux pour les transporteurs au moins pour cette année parce que pendant que les frontières sont fermées qui ne signifie pas que les gens ne sont pas d'acheter, a déclaré Um Kyung-a, un analyste de compagnie aérienne à Shinyoung Securities Co. à Séoul."
237,"Ajman University (AU), as part of its social responsibility and efforts to ensure the safety of community members, has launched the laser-based DPI Covid-19 Testing Center.",0,es,"La Universidad de Ajman (UA), como parte de su responsabilidad social y de sus esfuerzos para garantizar la seguridad de los miembros de la comunidad, ha puesto en marcha el Centro de Pruebas DIP Covid-19 basado en láser."
238,A judge signed off on that agreement in November 2013.,1,fr,Un juge a signé cet accord en novembre 2013.
239,"AK Usmani says that he feels fear when someone makes the animal flustered and scared, and whether or not he'll be able to communicate with it.",1,fr,"AK Usmani dit qu'il ressent la peur quand quelqu'un fait que l'animal est terrifié et effrayé, et qu'il pourra ou non communiquer avec lui."
240,A Kyalami property was host to 80 bunnies that were in search of food.,1,fr,Une propriété Kyalami abritait 80 lapins à la recherche de nourriture.
241,"A lack of support among the crossbenchers and the opposition puts Premier Daniel Andrews under pressure to compromise on the plan, with the government requiring 20 votes in the upper house to pass the legislation.",1,fr,"Le manque de soutien des contre-benchers et de l'opposition fait pression sur le premier ministre Daniel Andrews pour qu'il fasse des compromis sur le plan, le gouvernement exigeant 20 voix à la Chambre haute pour adopter la loi."
242,Alan was a member of our band for 4 years.,0,es,Alan fue miembro de nuestra banda durante 4 años.
243,"""A large amount of our agricultural workforce is Hispanic or Latino.",1,fr,« Une grande partie de notre main-d'oeuvre agricole est hispanique ou latine.
244,"A large, central courtyard offers play equipment for children, while the Zen Garden and Adult Overlook offer space for young adults and parents to retreat.",0,es,"Un gran patio central ofrece equipo de juego para niños, mientras que el Zen Garden y Adult Overlook ofrecen espacio para que los jóvenes adultos y los padres se retiren."
245,"A large portion of the biggest crèche in Ramaphosa, Noncedo Pre-School, was recently declared unsafe for occupation.",1,fr,"Une grande partie de la plus grande crèche de Ramaphosa, la Préécole de Noncedo, a récemment été déclarée dangereuse pour l'occupation."
246,"Alarmed with the official statistics, authorities in Songwe are devising strategies to capitalise on the region's closeness to the landlocked countries of Zambia and Malawi to attract both local and foreign investments and boost the region's standing.",0,es,"Alarmadas por las estadísticas oficiales, las autoridades de Songwe están diseñando estrategias para capitalizar la cercanía de la región a los países sin litoral de Zambia y Malawi para atraer inversiones locales y extranjeras e impulsar la posición de la región."
247,A late power-play goal from Robert Morris on a second Koocher penalty ended the scoring and handed SU a resounding 5-1 loss.,0,es,Un último gol de Robert Morris en un segundo penal Koocher terminó el marcador y le dio a SU una resonante derrota de 5-1.
248,A lawsuit Smothers filed with other former WWE performers in 2016 was eventually tossed out.,1,fr,Un procès que Smothers a déposé auprès d'autres anciens interprètes de WWE en 2016 a finalement été rejeté.
249,"A lawyer who visited the station at Weslaco, Texas, on Wednesday spoke to teenagers who had been detained there for at least three days, said Carlos Holguin, co-founder of the Center for Human Rights and constitutional Law.",1,fr,"Un avocat qui s'est rendu à la gare de Weslaco, au Texas, mercredi, s'est entretenu avec des adolescents qui y étaient détenus depuis au moins trois jours, a déclaré Carlos Holguin, cofondateur du Centre pour les droits de l'homme et le droit constitutionnel."
250,"Al Dawsari is, instead, a footballing artisan who crafts vivid memories when in possession.",0,es,"Al Dawsari es, en cambio, un artesano del fútbol que elabora recuerdos vívidos cuando está en posesión."
251,Aldridge had shoulder surgery in April.,1,fr,Aldridge a subi une opération d'épaule en avril.
252,"A leak this week of the next major LG smartphone, probably LG G9 ThinQ seems to show the industrial designer at the company siding with simplicity.",1,fr,"Une fuite cette semaine du prochain smartphone LG majeur, probablement LG G9 ThinQ semble montrer au designer industriel à l'entreprise de revêtement avec simplicité."
253,“A letter sent to his last known address requesting a follow up interview was returned as no longer at this address.”,0,es,“Una carta enviada a su última dirección conocida solicitando una entrevista de seguimiento fue devuelta ya no en esta dirección.”
254,Alexander Hammerstone scrolled through images of pizza.,0,es,Alexander Hammerstone recorrió imágenes de pizza.
255,"Alhaji Yakasai also said the eldest son of the late Emir of Kano, Ado Bayero, was the preferred candidate for the stool and was initially announced as the emir before the then incumbent governor kwankaso announced Sanusi’s name.",0,es,"Alhaji Yakasai también dijo que el hijo mayor del difunto Emir de Kano, Ado Bayero, era el candidato preferido para el taburete e inicialmente fue anunciado como el emir antes de que el entonces gobernador actual kwankaso anunciara el nombre de Sanusi."
256,"Ali Berg, a Cooperative Extension nutrition and health specialist, pointed out that ""physical activity is good for maintaining immunity, in addition to adequate nutrition.",1,fr,"Ali Berg, un spécialiste de la nutrition et de la santé de Cooperative Extension, a souligné que « l'activité physique est bonne pour le maintien de l'immunité, en plus d'une nutrition adéquate."
257,Alicia survived her attacker and went on to help pass Alicia’s Law which provides a dedicated stream of funding to ICAC task forces across the country.,1,fr,Alicia a survécu à son agresseur et a continué à aider à passer Alicias Law qui fournit un flux de financement dédié aux équipes spéciales de l'ICAC à travers le pays.
258,"Ali expressed the readiness of the legislators to be part of the monthly sanitation, saying that such would enable them have knowledge of the exercise in the state.",0,es,"Ali expresó la disposición de los legisladores a formar parte del saneamiento mensual, diciendo que eso les permitiría tener conocimiento del ejercicio en el estado."
259,Aligning herself with Bellator opens the door to the cross-promotional opportunities that weren’t possible during her time with UFC.,1,fr,S'aligner avec Bellator ouvre la porte aux opportunités de promotion croisée qui n'étaient pas possibles pendant son temps avec UFC.
260,"Alima has ordered 280 concentrators to be distributed around Guinea on top of 50 that have been sent to Donka hospital in Conakry, the capital.",1,fr,"Alima a ordonné la distribution de 280 concentrateurs autour de la Guinée en plus de 50 qui ont été envoyés à l'hôpital Donka à Conakry, la capitale."
261,A Lincoln Journal reporter was admitted to the judge’s chambers next door and advised that he would be granted access to the plea hearing.,1,fr,Un journaliste du Lincoln Journal a été admis dans les chambres du juge d'à côté et a indiqué qu'il se verrait accorder l'accès à l'audience de plaidoyer.
262,"Aliquippa at Beaver, 7:30 p.m.",1,fr,"Aliquippa à Beaver, 19 h 30"
263,"A little chocolate perhaps on the tongue, enjoy this bottle with an after dinner petit four, say with a rich chocolate bon bon, or, you can simply raid your Christmas chocolate supply.",0,es,"Un poco de chocolate tal vez en la lengua, disfrutar de esta botella con un después de la cena petit cuatro, digamos con un rico bond de chocolate, o, simplemente puede irrumpir en su suministro de chocolate de Navidad."
264,"All around the planet, for example, the United Kingdom many online stores are coming daily.",0,es,"Por todo el planeta, por ejemplo, el Reino Unido viene a diario muchas tiendas en línea."
265,All bolstered by a knowledge and curiosity that was frankly awesome as well as inspiring.,0,es,"Todo reforzado por un conocimiento y curiosidad que fue francamente impresionante, así como inspirador."
266,"All Chicago voting sites will be following all federal and state public health guidelines, Hernandez said.",1,fr,"Tous les sites de vote de Chicago suivront toutes les lignes directrices fédérales et des États en matière de santé publique, a déclaré Hernandez."
267,"All classes have, however, been halted since mid-October in tandem with restrictions put in place in Kuala Lumpur and surrounding areas to curb a fresh surge in coronavirus cases.",0,es,"Sin embargo, todas las clases se han detenido desde mediados de octubre, junto con las restricciones impuestas en Kuala Lumpur y sus alrededores para frenar una nueva oleada de casos de coronavirus."
268,"All during the 1997 playoffs, he called Tellem to monitor the interest of other teams.",0,es,"Durante todos los playoffs de 1997, llamó a Tellem para monitorear el interés de otros equipos."
269,"“All efforts to make her return home proved abortive,” Aliyu said.",0,es,"Todos los esfuerzos por hacer que regresara a casa resultaron abortivos, dijo Aliyu."
270,"All employees are required to wear masks now, the facility said, and everyone had received masks – including some sewn by residents – as of April 3 or their next working shift.",0,es,"Todos los empleados están obligados a usar máscaras ahora, dijo la instalación, y todos habían recibido máscaras – incluyendo algunas cosidas por los residentes – a partir del 3 de abril o su próximo turno de trabajo."
271,"Allen Park was established as a bird sanctuary in the 1930s by George Allen, a surgeon who served as president of the Sugar House Businessmen’s League and the Salt Lake Zoological Society.",1,fr,"Allen Park a été créé en tant que sanctuaire d'oiseaux dans les années 1930 par George Allen, un chirurgien qui a servi comme président de la Sugar House Businessmens League et de la Salt Lake Zoological Society."
272,"All fall courses must be fully accessible to students who opt out of in-person classes due to medical conditions or travel restrictions, Liu said.",1,fr,"Tous les cours d'automne doivent être entièrement accessibles aux étudiants qui s'abstiennent de suivre des cours en personne en raison de conditions médicales ou de restrictions de voyage, a déclaré Liu."
273,"All in all, has action, comedy, drama, and heart in spades.",0,es,"Con todo, tiene acción, comedia, drama, y corazón en picas."
274,"Allina, North Memorial also reduce hours as elective surgery ban continues because of virus.",1,fr,"Allina, Mémorial du Nord, réduit également les heures à mesure que l'interdiction de chirurgie facultative se poursuit à cause du virus."
275,All inmates must wear masks at all times except in their cell or the showers.,0,es,"Todos los reclusos deben llevar máscaras en todo momento, excepto en su celda o en las duchas."
276,"All intending passengers are even being contacted to follow up on this development,” he said.",0,es,"Todos los pasajeros que tienen la intención de ser contactados para dar seguimiento a este desarrollo”, dijo."
277,All meetings will also be virtual and there will be no team or player gatherings away from the facility.,1,fr,Toutes les réunions seront également virtuelles et il n'y aura pas de rassemblements d'équipes ou de joueurs loin de l'installation.
278,"All my fights, I’m always scared going into the fight: ‘What if they do this, what if they do that?’",1,fr,"Tous mes combats, j'ai toujours peur d'entrer dans le combat: ‘Et s'ils font ça, et s'ils font ça?"
279,All of Maine’s 16 counties are currently classified as green — meaning the risk of COVID-19 transmission is low enough to make it safe for schools to open their doors — though the state plans to revisit the classification every two weeks.,1,fr,"L'ensemble des 16 comtés du Maine sont actuellement classés comme étant verts, ce qui signifie que le risque de transmission de COVID-19 est suffisamment faible pour que les écoles puissent ouvrir leurs portes en toute sécurité, bien que l'État envisage de revoir la classification toutes les deux semaines."
280,"All of the animals from the two expeditions were herded to Camp Verde, Texas.",1,fr,"Tous les animaux des deux expéditions ont été élevés au Camp Verde, au Texas."
281,"""All of the families here are lucky to have one less thing to worry about during these uncertain times,"" Dorman said.",1,fr,"« Toutes les familles ici présentes ont de la chance d'avoir une chose de moins à s'inquiéter en ces temps incertains », a déclaré Dorman."
282,"All of the garments – puffer coats, cargo pants, jumpsuits, ribbed cardigans, among them – were in black and white, easy to mix and match.",1,fr,"Tous les vêtements – manteaux gonflés, pantalons de chargement, combinaisons de saut, cardigans côtelés, parmi eux – étaient en noir et blanc, faciles à mélanger et à assortir."
283,"All of the KarJenner siblings – who had “work stuff,” according to Khloe – were in attendance.",1,fr,"Tous les frères et sœurs de KarJenner – qui avaient des trucs de travail, d'après Khloe – étaient présents."
284,All of which explains why ‘flattening the curve’ doesn’t really mean much (see graphic for other states).,1,fr,Tout cela explique pourquoi « aplatir la courbe » ne signifie pas vraiment beaucoup (voir graphique pour d'autres états).
285,"“All operations are now centralised through our main branch in Hamilton, which will be open from 8:30am to 4pm, Monday through Friday until further notice.",0,es,"“Todas las operaciones están ahora centralizadas a través de nuestra sucursal principal en Hamilton, que estará abierta de 8:30 a 16:00, de lunes a viernes hasta nuevo aviso."
286,"Allow me to thank our members at ward, district and Constituencies for holding free and fair Elections.",1,fr,"Permettez-moi de remercier nos membres des circonscriptions, des districts et des circonscriptions d'avoir tenu des élections libres et équitables."
287,"All parties represented at Holyrood have had an input in drawing up the new law, which will be introduced to the Scottish Parliament on Tuesday and could complete all its stages as early as Wednesday.",1,fr,"Tous les partis représentés à Holyrood ont participé à l'élaboration de la nouvelle loi, qui sera présentée mardi au Parlement écossais et pourrait achever toutes ses étapes dès mercredi."
288,"ALL sick children and adults will stay home; and, quarantine will be observed by those with COVID-19 infected persons at home.",1,fr,"TOUS les enfants et adultes malades resteront à la maison; et, la quarantaine sera observée par les personnes atteintes de COVID-19 à la maison."
289,"All Signs: As our time with passionate, intense Scorpio ends, we now move into a four-week dance with the Sun in optimistic, adventurous Sagittarius.",0,es,"Todos los signos: A medida que nuestro tiempo con apasionado, intenso Escorpio termina, ahora nos trasladamos a un baile de cuatro semanas con el Sol en Sagitario optimista y aventurero."
290,All signs pointed toward cornerback missing Sunday’s game and the Bills made it official on Friday.,1,fr,Tous les panneaux pointaient vers cornerback manquant jeu dimanche et les Bills rendu officiel vendredi.
291,"All stakeholders including Transport, Hospitality, Travel Services, and Infrastructure Providers must urgently start the transformation in 2020 to get onto the Paris 1.5o trajectory within the next 7- 10 years.",1,fr,"Toutes les parties prenantes, y compris les transporteurs, l'accueil, les services de voyage et les fournisseurs d'infrastructures, doivent commencer d'urgence la transformation en 2020 pour atteindre la trajectoire Paris 1.5o au cours des 7 à 10 prochaines années."
292,"“All the resources we have from our companies, all the funding we can bring to this — together we think we can get back on our feet,” Smith said.",0,es,"“Todos los recursos que tenemos de nuestras empresas, toda la financiación que podemos aportar a esto, juntos creemos que podemos volver a ponernos de pie”, dijo Smith."
293,All the TrueNat positive samples had to be confirmed by RT-PCR-based tests either located in the same or different laboratory.,1,fr,Tous les échantillons positifs de TrueNat ont dû être confirmés par des tests RT-PCR situés dans le même laboratoire ou dans un laboratoire différent.
294,"All they knew was that Stan Lee was listed as ""Writer.""",1,fr,"Tout ce qu'ils savaient, c'est que Stan Lee était inscrit sur la liste des ""Écrits""."
295,"All things happen for a reason, but the pains we endured through this process helped us grow when and where we needed to.”",0,es,"Todas las cosas suceden por una razón, pero los dolores que sufrimos a través de este proceso nos ayudaron a crecer cuando y donde necesitábamos”."
296,All this happened the same day the school district itself reminded parents school would continue on a normal schedule Monday morning.,0,es,Todo esto sucedió el mismo día que el distrito escolar mismo recordó a los padres que la escuela continuaría con un horario normal el lunes por la mañana.
297,All this week we are dedicating the lights on Perth Bridge to those who have faced an unprecedented challenge in regards to schooling over the last few months.,0,es,Durante toda esta semana estamos dedicando las luces del puente de Perth a aquellos que han enfrentado un desafío sin precedentes en lo que respecta a la escolarización en los últimos meses.
298,"All those who have any loan including retail loans such as car loan, personal loan or home loan may opt for the HDFC bank loan EMI moratorium scheme.",1,fr,"Tous ceux qui ont un prêt, y compris des prêts de détail tels que le prêt automobile, le prêt personnel ou le prêt à domicile, peuvent opter pour le régime de moratoire de prêt bancaire de la HDFC EMI."
299,"All told, at least in the central part of the state, Hutchinson is passing the biggest test he’s faced as governor.”",0,es,"Todo dicho, al menos en la parte central del estado, Hutchinson está pasando la prueba más grande que ha enfrentado como gobernador”."
300,"All told, people were taken with the concept of Stadia, but the execution just didn't work.",0,es,"Todo dicho, la gente fue tomada con el concepto de Stadia, pero la ejecución simplemente no funcionó."
301,"“All visitors are being requested to follow all the instructions given during these visits since these will continue ensuring the residents’ well-being,” the Government said.",0,es,"“Se está pidiendo a todos los visitantes que sigan todas las instrucciones dadas durante estas visitas, ya que éstas continuarán garantizando el bienestar de los residentes”, dijo el Gobierno."
302,"All you need is hot water, vanilla, sugar, butter, flour and a deep-dish pie crust.",0,es,"Todo lo que necesitas es agua caliente, vainilla, azúcar, mantequilla, harina y una corteza de pastel profundo."
303,"ALMOST €2 MILLION euro in funding, which will go towards promoting Irish arts internationally, has been announced by the Department of Culture, Heritage and the Gaeltacht.",1,fr,"Le ministère de la Culture, du Patrimoine et du Gaeltacht a annoncé un financement de 2 millions d'euros d'ALMOST en faveur de la promotion des arts irlandais à l'échelle internationale."
304,Almost 80 per cent of Hong Kong's new cases over the past three days were imported.,0,es,Casi el 80% de los nuevos casos de Hong Kong en los últimos tres días fueron importados.
305,Almost as many of the respondents (19 percent) believed that it was probably or definitely true that the CDC was using the virus to undermine the Trump presidency.,0,es,Casi tantos de los encuestados (19 por ciento) creían que era probable o definitivamente cierto que el CDC estaba usando el virus para socavar la presidencia de Trump.
306,"Almost seven million applications for tests were made between the site re-opening at 8am on Friday and 8pm that evening, the agency said.",1,fr,"Près de sept millions de demandes de tests ont été faites entre la réouverture du site à 8h le vendredi et à 20h le soir, a déclaré l'agence."
307,"Alongside his health secretary, Biden is expected to name a top-level White House adviser to coordinate the government's extensive coronavirus response.",1,fr,"Aux côtés de son secrétaire à la santé, Biden devrait nommer un conseiller de haut niveau à la Maison Blanche pour coordonner la réponse importante du gouvernement au coronavirus."
308,Alongside the above statement he also made a significant statement on commencement of work on Moqpondass Special Economic Zone under the China Pakistan Economic Corridor (CPEC).,1,fr,"Parallèlement à la déclaration ci-dessus, il a également fait une déclaration importante sur le début des travaux relatifs à la zone économique spéciale de Moqpondass dans le cadre du corridor économique de la Chine au Pakistan (CPEC)."
309,"Along with the album, he has released a video for “GNAT,” directed by Cole Bennett.",1,fr,"Avec l'album, il a sorti une vidéo pour ""GNAT"", mise en scène par Cole Bennett."
310,"Along with the announcement, Mike and El Producto have also shared a lyric video for highlight “JU$T” featuring and Rage Against The Machine frontman Zack de la Rocha.",0,es,"Junto con el anuncio, Mike y El Producto también han compartido un video lírico para destacar “JU$T” presentando y Rage Against The Machine líder Zack de la Rocha."
311,"Along with those flavors, Lee has his gourmet flavors, cookies and cream, strawberry cheesecake, creamy dill, and banana pudding.",0,es,"Junto con esos sabores, Lee tiene sus sabores gourmet, galletas y crema, tarta de queso de fresa, eneldo cremoso y pudín de plátano."
312,"A look at what goes into conducting missile tests, what its means in terms of strategic posturing in the context of the stand-off with China along the LAC, and how COVID-19 restrictions have played a role in it.",0,es,"Una mirada a lo que va en la realización de ensayos de misiles, lo que significa en términos de postura estratégica en el contexto del enfrentamiento con China a lo largo de la ALC, y cómo las restricciones COVID-19 han jugado un papel en ella."
313,"“A lot of adults assume teens have it easy,” she said.",1,fr,"Beaucoup d'adultes supposent que les adolescents l'ont facilement, a-t-elle dit."
314,"“A lot of my professors were saying that, ‘It’s okay if you do miss class, just send me an email saying that you’re missing class because of, you’re going to vote,’ which is respectful,” she said.",1,fr,"Beaucoup de mes professeurs disaient que, 'C'est ok si vous manquez la classe, il suffit de m'envoyer un email disant que vous êtes absents de la classe à cause de, vous allez voter, 'ce qui est respectueux,' elle a dit."
315,A lot of Sanders’ pessimists would use this as an opportunity to point out that Iowa and New Hampshire aren’t representative of the nation racially.,1,fr,Beaucoup de pessimistes de Sanders en profiteraient pour souligner que l'Iowa et le New Hampshire ne sont pas représentatifs de la nation sur le plan racial.
316,Al Pacino and Richard Gere were also briefly considered for the role.,1,fr,Al Pacino et Richard Gere ont également été brièvement pris en considération pour ce rôle.
317,Alpha Real Trust stock opened at GBX 166 ($2.17) on Wednesday.,0,es,Las acciones de Alpha Real Trust se abrieron en GBX 166 (2.17) el miércoles.
318,"Alpha Solway, who manufacture personal protective equipment at their factory in Queensberry Street, are working flat out to produce 20,000 visors every day, each bearing a personal message of thanks for the NHS.",1,fr,"Alpha Solway, qui fabrique des équipements de protection individuelle à son usine de Queensberry Street, travaille à plat pour produire 20 000 visières par jour, chacune portant un message de remerciement personnel pour le NHS."
319,"Alps Advisors Inc. now owns 491,759 shares of the energy company’s stock worth $4,716,000 after purchasing an additional 72,003 shares during the last quarter.",1,fr,"Alps Advisors Inc. détient maintenant 491 759 actions de la société énergétique, d'une valeur de 4 716 000 $, après avoir acheté 72 003 actions supplémentaires au cours du dernier trimestre."
320,"Also, after using plates, salt and pepper shakers, cutlery, or napkins, avoid touching yourself or others unless you have sanitised properly.",0,es,"Además, después de usar platos, agitadores de sal y pimienta, cubiertos o servilletas, evite tocarse a sí mismo o a otros a menos que se haya sanado adecuadamente."
321,Also among those to get vaccinated is Chris Ballinger who treats COVID-19 patients at Physicians Immediate Care.,0,es,También entre los que se vacunan está Chris Ballinger que trata a los pacientes COVID-19 en Physicians Inmediate Care.
322,"Also at the event, the Group Head, LPG, SON, Mrs Nwaoma Olujie, said that the destruction was in response to the series of avoidable gas explosions in the nation.",0,es,"También en el evento, la Jefa del Grupo, GLP, SON, la señora Nwaoma Olujie, dijo que la destrucción fue en respuesta a la serie de explosiones de gas evitables en la nación."
323,"Also, being offered is a 50% discount on co-pay for any men’s health issues for all ages.",1,fr,"En outre, être offert est une réduction de 50% sur la co-paiement pour tous les problèmes de santé des hommes pour tous les âges."
324,"Also, both the nations concluded a defense deal worth $3 billion because of the US president showed his willingness to sell India ultra-modern defense equipment and platforms.",0,es,"Además, ambas naciones concluyeron un acuerdo de defensa por valor de $3 mil millones debido al presidente de EE.UU. mostró su voluntad de vender equipos y plataformas de defensa ultramodernas de la India."
325,"Also, Chairman Ulrich E. Keller, Jr. sold 30,600 shares of the firm’s stock in a transaction on Wednesday, December 4th.",1,fr,"En outre, le président Ulrich E. Keller, Jr. a vendu 30 600 actions de la société dans une transaction le mercredi 4 décembre."
326,Also closing is a Retro Fitness location.,0,es,También se cierra una ubicación Retro Fitness.
327,"Also, Director Jody S. Lindell sold 3,500 shares of the business’s stock in a transaction on Monday, January 6th.",1,fr,"De plus, la directrice Jody S. Lindell a vendu 3 500 actions de l'entreprise dans le cadre d'une transaction le lundi 6 janvier."
328,Also how tight the overlapping layers are at the base of the fingers.,1,fr,Aussi à quel point les couches recoupantes sont serrées à la base des doigts.
329,"Also included will be boxes of granola bars, nuts, and cases of bottled water.",1,fr,"Sont également inclus les boîtes de barres de granola, les noix, et les caisses d'eau embouteillée."
330,"Also, look for modern models that have the built-in safety features.",0,es,"Además, busque modelos modernos que tengan las características de seguridad incorporadas."
331,"Also, more curbside options, and creative dining ideas for Mother's Day.",1,fr,"En outre, plus d'options de bordure, et des idées créatives de repas pour la fête des mères."
332,"Also, Nigeria is losing billions of investment to other African countries with better template for doing oil business as it lingers in the passage of its Petroleum Industry Bill.",1,fr,"En outre, le Nigéria perd des milliards d'investissements dans d'autres pays africains avec un meilleur modèle pour faire des affaires pétrolières alors qu'il persiste dans l'adoption de son projet de loi sur l'industrie pétrolière."
333,Also no different was the continuing absence of some key members of the cast.,0,es,Tampoco fue diferente la continua ausencia de algunos miembros clave del elenco.
334,"Also, out of concern about the public glare on the matter.",0,es,"También, debido a la preocupación por la mirada pública sobre el asunto."
335,"Also, somehow I have only played a cop in my last three outings as an actor, including Ghoomketu now.",1,fr,"En plus, je n'ai joué qu'un flic dans mes trois dernières sorties en tant qu'acteur, y compris Ghoomketu maintenant."
336,"Also, the MagSafe connector on the backside has an array of 18 magnets to keep magnetically-attached wireless charging accessories attached.",0,es,"Además, el conector MagSafe en el dorso tiene una serie de 18 imanes para mantener los accesorios de carga inalámbricos conectados magnéticamente."
337,"Also, you needed to have a lantern about your person.",0,es,"Además, necesitabas tener una linterna sobre tu persona."
338,Also you see whether you like it because criminal solicitors do a lot of appearance work in the Magistrates Court.”,1,fr,"Aussi, vous voyez si vous aimez parce que les avocats criminels font beaucoup de travail d'apparence au tribunal de première instance."
339,"Altan Nar is an intermediate sulphidation, carbonate-base metal gold (“CBMG”) deposit, that remains open at depth and along the known 5.6-kilometre trend of the system.",0,es,"Altan Nar es un depósito intermedio de sulfuración, oro de base carbonatada (“CBMG”), que permanece abierto a profundidad y a lo largo de la conocida tendencia de 5,6 kilómetros del sistema."
340,Altars: Consider placing and creating your altar in a front window or outside so others can view from a safe social distance.,0,es,Altares: Considere colocar y crear su altar en una ventana frontal o exterior para que otros puedan ver desde una distancia social segura.
341,"Alternatively, customers can obtain forms in the food bank parking lot during normal distribution days and wait in their cars for their orders to be filled.",0,es,"Alternativamente, los clientes pueden obtener formularios en el estacionamiento del banco de alimentos durante los días normales de distribución y esperar en sus coches para que sus pedidos sean llenados."
342,"Although a few strong sectors of the civil service survive, notably the health sector, there has been little economic development in years.",1,fr,"Bien que quelques secteurs forts de la fonction publique survivent, notamment le secteur de la santé, il y a eu peu de développement économique depuis des années."
343,"Although experts say it is “ridiculously optimistic,” a coronavirus could reportedly be ready within the next 18 months.",0,es,"Aunque los expertos dicen que es “ridículosamente optimista”, un coronavirus podría estar listo en los próximos 18 meses."
344,"Although, frankly, so far it looks relatively contained.”",1,fr,"Bien que, franchement, jusqu'à présent, il semble relativement contenu."
345,"Although high-order harmonic generation brought a breakthrough in this field, the generation efficiency and repetition rate were still insufficient for many applications,"" said Midorikawa.",1,fr,"Bien que la génération harmonique de haut niveau ait apporté une percée dans ce domaine, l'efficacité de la génération et le taux de répétition étaient encore insuffisants pour de nombreuses applications », a déclaré Midorikawa."
346,"Although it is possible for experienced investors to use Robinhood, and surely is the case some of the time, Robinhood caters mainly to a beginner investor crowd.",0,es,"Aunque es posible que los inversores experimentados utilicen Robinhood, y seguramente es el caso en parte del tiempo, Robinhood atiende principalmente a una multitud de inversores principiantes."
347,"“Although it lost, I think it’s important to know that this is not the first time, and it isn’t the last time,” he said.",0,es,"“Aunque perdió, creo que es importante saber que esta no es la primera vez, y no es la última vez”, dijo."
